類別,問題（Q）,回答（A）,關鍵詞,注意事項 / 補充說明
併發症說明,COPD 會引起哪些併發症？,包括肺炎、氣胸、呼吸衰竭、睡眠呼吸中止症、慢性肺心症與營養不良等，可能進一步加重病情。,"COPD併發症, 肺炎, 呼吸衰竭, 肺心症, 睡眠中止",語氣需安撫，強調可透過追蹤與治療預防。
診斷與檢查,COPD 要怎麼診斷？,診斷主要依靠臨床檢查、胸部X光及肺功能測試，其中肺功能檢查是最重要的診斷與追蹤工具。,"COPD診斷, 肺功能測試, X光, 醫師評估",可提醒肺功能檢查的重要性與定期追蹤。
藥物與吸入治療,COPD 治療的重點是什麼？,主要目的是改善呼吸狀況、維持肺功能、減緩病情惡化與提升生活品質，預防急性惡化與呼吸衰竭發生。,"COPD治療, 肺功能改善, 預防惡化, 呼吸衰竭",可補充『穩定期也需持續治療』的觀念。
生活照護與復健,COPD 的居家照護有哪些？,重點包括：戒菸與避免二手菸、規律服藥與定期追蹤、避免粉塵油煙環境、流感季節配戴口罩並接種疫苗、高蛋白飲食與少量多餐、適度運動訓練等。,"COPD照護, 戒菸, 飲食, 運動, 居家環境",照護建議需具體可執行，例如『每日步行15分鐘』等範例可補充。
營養與飲食,COPD 患者食慾不振時可以怎麼辦？,可採取少量多餐（每天6~8餐），準備喜歡的食物或開胃菜，優先攝取高熱量高蛋白食物。適度活動可促進消化，必要時可考慮口服營養補充品或使用促進食慾的藥物。,"COPD, 食慾不振, 少量多餐, 營養補充",避免使用過於技術性的字詞，可配合實際例子幫助理解，如『喝豆漿、吃蛋』。
營養與飲食,COPD 患者容易腹脹怎麼處理？,避免產氣食物（如洋蔥、地瓜、豆類、乳製品），用餐時避免說話或咀嚼口香糖。建議攝取流質、溫和食物並避免餐時攝取過多湯水，適度運動也能改善，必要時可用藥。,"COPD, 腹脹, 飲食建議, 產氣食物",可具體列出常見產氣食物，並強調飲食順序與習慣。
營養與飲食,COPD 患者如果便秘了怎麼辦？,建議攝取足夠的蔬果與水分，適度增加活動促進腸胃蠕動。若情況持續，也可考慮使用醫師建議的軟便藥物。,"COPD, 便秘, 蔬果, 飲水, 軟便劑",提醒患者不要自行長期使用瀉藥，應由醫師指示下處理。
營養與飲食,COPD 為什麼需要注意營養？,COPD 病人因呼吸困難會消耗大量能量，若營養攝取不足，容易導致肌肉流失、體力下降、免疫力變差，進而增加住院風險與死亡率。,"COPD營養, 體重下降, 肌肉流失, 能量消耗",可搭配圖示解釋『吃不下會更喘，喘會更吃不下』的惡性循環。
營養與飲食,COPD 患者怎麼評估營養狀況？,可透過體重是否下降、BMI值是否低於21、是否容易疲勞、進食是否有困難等來初步判斷營養風險。,"COPD營養評估, 體重下降, BMI, 疲勞",鼓勵病人定期記錄體重與飲食攝取量。
營養與飲食,COPD 飲食要怎麼調整？,建議採少量多餐、選擇高蛋白高熱量食物（如蛋、豆、魚、肉）、避免過甜與產氣食物、飯後休息、並搭配適當活動增加食慾。,"COPD飲食原則, 少量多餐, 高蛋白, 高熱量",應依病人進食狀況彈性調整，不宜強迫進食。
營養與飲食,COPD 患者為什麼建議使用營養品？,若正餐攝取不足，補充營養品可提供身體額外所需的能量與蛋白質，維持肌肉與肺部功能。,"COPD營養品, 熱量補充, 肌肉維持",營養品非藥物，應當作日常飲食的補充而非替代。
觀念澄清,COPD 是氣喘嗎？,不是。COPD 是一種漸進性肺部疾病，以不可逆的氣流阻塞為主，而氣喘是可逆性呼吸道發炎。兩者治療與預後不同，需由醫師診斷區分。,"COPD, 氣喘, 差異, 不可逆, 可逆",需強調不能自行判斷，應由醫師檢查肺功能區分。
藥物與吸入治療,COPD 患者為什麼要使用吸入劑？,吸入劑可直接作用於呼吸道，快速擴張支氣管、減少發炎與痰液，幫助呼吸順暢，是控制病情的重要方式。,"吸入劑, COPD治療, 支氣管擴張, 吸藥",正確吸藥技巧會影響藥效，需配合衛教指導。
藥物與吸入治療,使用吸入劑要注意什麼？,使用前要搖勻、配合正確呼吸動作、吸完後記得漱口（尤其含類固醇者），避免藥物殘留導致副作用如念珠菌感染。,"吸入劑技巧, 搖勻, 漱口, 正確吸藥",吸入劑種類不同（定量噴霧、乾粉吸入）操作方式略有不同，應依指示使用。
自我管理,COPD 患者可以運動嗎？,可以且建議規律運動，如步行、緩和有氧活動有助於提升體力與呼吸功能，減少憋氣與急性惡化。,"COPD運動, 呼吸訓練, 增強體力",運動時應採噘嘴呼吸，避免過度激烈造成缺氧。
疾病認識與病因,COPD 是老年人才會得的病嗎？,不一定。雖然年齡是風險因子之一，但長期抽菸、暴露污染或職業性粉塵者在中年甚至更早也可能發病。,"COPD年齡, 抽菸, 粉塵, 空氣污染",應提升早期篩檢觀念，特別是有呼吸症狀者。
早期發現,COPD 發作一定很明顯嗎？,不一定。早期常只有咳嗽、痰多、偶有喘，易被誤認為感冒或年紀大體力差，常被延誤診斷。,"COPD早期症狀, 慢性咳嗽, 感冒誤解",任何慢性呼吸症狀都應主動就醫，安排肺功能檢查。
觀念澄清,COPD病人為什麼也需要運動？不是會更喘嗎？,雖然運動可能暫時加劇症狀，但規律運動可改善心肺功能、肌力與生活品質，並減緩病情惡化。避免運動反而會使肌肉流失、功能下降。,"COPD運動迷思, 心肺功能, 肌力",建議從低強度、短時間開始，逐步提升。
運動建議,COPD患者的運動建議是什麼？,建議每週3–5次，每次約30分鐘的中等強度有氧運動（如步行、固定腳踏車），可依個人狀況分次進行。若能結合重量訓練效果更佳。,"COPD運動頻率, 有氧運動, 重量訓練",最好由醫師或復健師協助擬定個人化計劃。
生活照護與復健,什麼是肺部復原運動？COPD患者該怎麼做？,肺部復原包含呼吸訓練（如噘嘴式呼吸、腹式呼吸）與上肢/下肢運動，有助減少咳痰與呼吸困難。每週3–5次，每次30分鐘效果最佳。,"肺部復原運動, 呼吸訓練, 噘嘴呼吸, 腹式呼吸",至少持續6週，依嚴重程度調整強度。
生活照護與復健,COPD患者日常生活還要注意什麼？,戒菸、營養補充、規律運動、施打疫苗（流感與肺炎鏈球菌）為基本措施。建議定期測量體重與BMI。,"COPD生活照護, 戒菸, 營養, 疫苗",太瘦需補充營養，可向營養師諮詢。
治療依從性,COPD患者症狀改善後可以自行停藥嗎？,不可自行停藥。症狀改善是藥物效果，停藥易導致病情復發。需與醫師討論調整藥物。,"COPD用藥, 停藥風險, 治療依從性",強調長期用藥控制，非短期治療。
病情評估,COPD控制情況要怎麼評估？,可觀察症狀如喘、咳、痰與活動能力，或使用問卷（如CAT、mMRC）與肺功能檢查評估病情。,"COPD控制評估, CAT問卷, mMRC量表, FEV1",建議每年檢查肺功能一次。
藥物種類,COPD的主要治療藥物有哪些？,支氣管擴張劑（β2-agonists、抗膽鹼藥物）及吸入型類固醇（ICS）為COPD的主要藥物，依嚴重程度及控制情形選擇短效或長效型，單一或合併使用。,"LABA, LAMA, ICS, β2-agonists, Anticholinergics",吸入型為首選，口服或注射次之；需依病人病程調整，合併氣喘者優先考慮ICS。
治療目標,COPD藥物治療的目的是什麼？,降低症狀、減少急性發作頻率與嚴重度、改善生活品質及運動耐受力。,"症狀控制, 發作預防, 生活品質, 運動耐受力",治療不以治癒為目標，而是延緩惡化並提升生活功能。
藥物選擇,如何決定COPD病人適合使用哪些藥物？,依據症狀嚴重度、急性惡化次數及風險評估，分階段使用短效或長效藥物，必要時加入ICS。,"個別化治療, 病情分期, 三合一療法",應避免ICS單獨使用，應合併LABA；三合一可整合至單一吸入器提高依從性。
藥物與吸入治療,有哪些吸入器可用於COPD？各有何優缺點？,常見吸入器包括：定量吸入器（MDI）、乾粉吸入器（DPI）、軟霧吸入器（SMI）、小容積噴霧器（SVN），依病人手口協調能力、肺功能與認知能力選擇。,"吸入器, MDI, DPI, SMI, SVN",使用前應訓練正確操作方式，並於回診時複查，以確保藥效與遵從性。
長效藥物,LABA與LAMA的使用時機與效果為何？,用於控制穩定期症狀，若單一長效藥物無效可考慮LABA+LAMA聯合使用，提高療效與肺功能。,"長效型支氣管擴張劑, 聯合治療, 穩定期",單一吸入器合併配方較利於高齡者使用與依從性。
ICS使用,何時應加入ICS治療COPD？,適用於合併氣喘或長效雙擴張劑無效的重度病人；與LABA合併效果最佳。,"ICS, 類固醇, 氣喘合併症",ICS單獨使用對COPD效果有限，並可能增加肺炎風險。
藥物與吸入治療,COPD的吸入藥物有哪些類型？,COPD常用的吸入藥物分為兩類：一是氣管擴張劑，包括乙二型交感神經興奮劑與抗膽鹼藥物，可放鬆氣管平滑肌；二是抗發炎藥物，可減少小氣道刺激與腫脹。,COPD、氣管擴張劑、抗發炎藥物、吸入藥,使用後若有口乾、鼻乾為局部副作用，屬常見情況。
藥物與吸入治療,如何正確使用噴霧式吸入器？,步驟包括：搖動藥瓶、平靜呼氣、下壓噴霧器並吸入藥氣、閉氣5-10秒、清潔輔助器，並注意每劑間隔與噴嘴清潔。,噴霧器、吸入器、使用步驟、吸入輔助器,噴霧器為加壓容器，避免高溫；藥量可用浮力判斷存量。
藥物與吸入治療,如何正確使用乾粉吸入劑？,包括旋開蓋、轉動轉盤、深吸藥粉、閉氣5-10秒等。若需吸多劑，應間隔1分鐘。,乾粉吸入劑、Pulmicort、使用步驟,吸嘴無需清洗，藥量指示窗會顯示剩餘劑量。
藥物與吸入治療,COPD吸入藥物有哪些常見副作用？,一般無全身性副作用，但可能出現口乾、鼻乾等局部不適。,吸入藥、副作用、口乾、鼻乾,症狀多屬暫時且輕微，若嚴重建議回診評估。
藥物與吸入治療,COPD的吸入藥物有哪些類型？,COPD常用的吸入藥物分為兩類：一是氣管擴張劑，包括乙二型交感神經興奮劑與抗膽鹼藥物，可放鬆氣管平滑肌；二是抗發炎藥物，可減少小氣道刺激與腫脹。,COPD、氣管擴張劑、抗發炎藥物、吸入藥,使用後若有口乾、鼻乾為局部副作用，屬常見情況。
藥物與吸入治療,如何正確使用噴霧式吸入器？,步驟包括：搖動藥瓶、平靜呼氣、下壓噴霧器並吸入藥氣、閉氣5-10秒、清潔輔助器，並注意每劑間隔與噴嘴清潔。,噴霧器、吸入器、使用步驟、吸入輔助器,噴霧器為加壓容器，避免高溫；藥量可用浮力判斷存量。
藥物與吸入治療,如何正確使用乾粉吸入劑？,包括旋開蓋、轉動轉盤、深吸藥粉、閉氣5-10秒等。若需吸多劑，應間隔1分鐘。,乾粉吸入劑、Pulmicort、使用步驟,吸嘴無需清洗，藥量指示窗會顯示剩餘劑量。
藥物與吸入治療,COPD吸入藥物有哪些常見副作用？,一般無全身性副作用，但可能出現口乾、鼻乾等局部不適。,吸入藥、副作用、口乾、鼻乾,症狀多屬暫時且輕微，若嚴重建議回診評估。
藥物與吸入治療,什麼是吸藥輔助器？,吸藥輔助器（spacer）是一種與壓力定量吸入器（pMDI）一起使用的輔助裝置，可以改善手口協調不佳造成的吸藥困難，提升藥物送達肺部細支氣管的效果。,"吸藥輔助器, spacer, pMDI, 手口協調, 吸入療效",
藥物與吸入治療,為什麼建議搭配使用吸藥輔助器？,使用吸藥輔助器可以改善手口不協調的問題，讓藥物顆粒在輔助艙中穩定懸浮，病人只需正常呼吸即可吸入，提升藥效並減少口腔副作用。,"吸藥輔助器, 吸入效率, 正常呼吸, 類固醇副作用",
藥物與吸入治療,吸藥輔助器如何使用（以 AeroChamber 為例）？,"1. 移除 pMDI 護蓋。
 2. 檢查輔助器儲藥腔是否乾淨。
 3. 搖晃 pMDI 8-10 下後插入輔助器。
 4. 按壓噴藥，1-2 秒內將面罩罩緊口鼻。
 5. 張口慢慢深吸約 20 秒。
 6. 若需再次吸入，等候30秒重複步驟3-5。","AeroChamber, 使用步驟, 吸藥流程",確保面罩與口鼻密合，避免漏氣
藥物與吸入治療,有哪些族群特別建議使用吸藥輔助器？,嬰幼兒、兒童、老年人、氣切病人及所有無法順利手口協調者。成年人也建議配合使用吸藥輔助器以提升藥物效果。,"兒童, 老年人, 氣切病人, 動作協調",最小使用年齡建議為兩歲以上，需經訓練指導
藥物與吸入治療,什麼是吸藥輔助器？,吸藥輔助器（spacer）是一種與壓力定量吸入器（pMDI）一起使用的輔助裝置，可以改善手口協調不佳造成的吸藥困難，提升藥物送達肺部細支氣管的效果。,"吸藥輔助器, spacer, pMDI, 手口協調, 吸入療效",
藥物與吸入治療,為什麼建議搭配使用吸藥輔助器？,使用吸藥輔助器可以改善手口不協調的問題，讓藥物顆粒在輔助艙中穩定懸浮，病人只需正常呼吸即可吸入，提升藥效並減少口腔副作用。,"吸藥輔助器, 吸入效率, 正常呼吸, 類固醇副作用",
藥物與吸入治療,吸藥輔助器如何使用（以 AeroChamber 為例）？,"1. 移除 pMDI 護蓋。
 2. 檢查輔助器儲藥腔是否乾淨。
 3. 搖晃 pMDI 8-10 下後插入輔助器。
 4. 按壓噴藥，1-2 秒內將面罩罩緊口鼻。
 5. 張口慢慢深吸約 20 秒。
 6. 若需再次吸入，等候30秒重複步驟3-5。","AeroChamber, 使用步驟, 吸藥流程",確保面罩與口鼻密合，避免漏氣
藥物與吸入治療,有哪些族群特別建議使用吸藥輔助器？,嬰幼兒、兒童、老年人、氣切病人及所有無法順利手口協調者。成年人也建議配合使用吸藥輔助器以提升藥物效果。,"兒童, 老年人, 氣切病人, 動作協調",最小使用年齡建議為兩歲以上，需經訓練指導
疾病認識與病因,哪些是慢性阻塞性肺病的主要危險因子？,包括吸菸（主動與被動）、職場暴露（粉塵、化學煙霧）、室內空污（燃燒生物燃料）及都市空污等。,吸菸、職場暴露、空氣污染,職場暴露約佔病因的20%，特別是在非吸菸者中。
症狀與評估,哪些症狀應懷疑慢性阻塞性肺病？,慢性咳嗽、咳痰、呼吸困難，有危險因子暴露史者應懷疑。,咳嗽、呼吸困難、暴露史,初期症狀不明顯，易被忽略。
診斷與檢查,診斷COPD時應注意什麼？,需配合臨床症狀、肺功能檢查（FEV1/FVC < 0.7），不可單憑臨床診斷。,FEV1、肺功能測試、診斷依據,建議有高風險者定期肺功能追蹤。
藥物與吸入治療,COPD的主要治療方式為何？,吸入型支氣管擴張劑為主，合併正確的吸藥技巧與規則使用。,支氣管擴張劑、吸藥技巧,無法根治，但可控制症狀、延緩惡化。
急性惡化與就醫,COPD急性惡化有哪些表現？,呼吸困難加劇、痰量增加、咳嗽惡化、痰黏稠或變色，可能合併發燒。,痰變化、呼吸困難、感染,常見誘因為上呼吸道感染與空污。
疫苗與預防,哪些疫苗建議COPD患者施打？,流感疫苗每年接種一次，肺炎鏈球菌疫苗視個案施打。,流感疫苗、肺炎疫苗,疫苗有助減少急性惡化與死亡率。
疾病認識與病因,COPD是否可以改善或痊癒？,無法完全痊癒，但早期診斷與規則治療可改善生活品質與延緩惡化。,預後、慢性病、不可逆,提升病人遵從性與定期追蹤為關鍵。
診斷比較,氣喘與慢性阻塞性肺病在發病年齡上的差異是什麼？,氣喘常於幼年期發病，任何年齡皆可發病；慢性阻塞性肺病通常發病年齡 > 40 歲。,氣喘、COPD、發病年齡,高齡新發喘鳴者需排除COPD。
症狀與評估,氣喘與慢性阻塞性肺病的呼吸症狀有何不同？,氣喘症狀變化較大，常因活動或過敏原誘發；COPD症狀較持續，日內波動不大，活動時加重。,呼吸急促、活動限制、氣喘特徵,氣喘與COPD可能重疊，需區別。
診斷與檢查,兩者的肺功能表現有何差異？,氣喘肺功能可改善且具可逆性；COPD在吸入支氣管擴張劑後FEV1/FVC仍 < 0.7。,FEV1、可逆性、呼吸氣流受阻,肺功能測試為診斷關鍵依據。
症狀與評估,哪一種疾病在無症狀期仍持續肺功能異常？,COPD在無症狀期肺功能仍受損；氣喘在無症狀期肺功能可能正常。,間歇期、肺功能,COPD肺功能惡化為持續性。
症狀與評估,家族病史與疾病關聯性為何？,氣喘與過敏體質或家族病史有關；COPD多與接觸毒素（如吸菸）有關。,過敏、氣喘家族史、毒素暴露,若兩者共存，稱為ACO（重疊症候群）。
病程變化,病情變化的可逆性差異？,氣喘可改善或完全恢復；COPD即使治療仍會惡化。,可逆性、惡化,需長期追蹤病程。
診斷與檢查,X光檢查常見變化？,氣喘急性惡化時變化小；COPD常見肺部結構改變如過度充氣等。,胸部X光、影像學異常,並非主要診斷依據。
急性惡化與就醫,兩者在急性惡化時的差異？,氣喘常有過敏反應誘發；COPD急性惡化與感染及空污有關，症狀更嚴重。,急性惡化、空污、感染,COPD急性惡化會導致住院與死亡率上升。
診斷與檢查,血液檢查結果是否能區別兩病？,氣喘可見嗜酸性白血球上升；COPD常見嗜中性白血球上升或細菌感染。,嗜酸性球、嗜中性球、痰培養,白血球變化有助於區分感染型急性惡化。
藥物與吸入治療,為什麼要依病人個別需求選擇適合的吸入器？,因為吸入器種類多、操作繁瑣，年長病人常合併手口協調困難、記性差及肺功能差，錯誤操作會降低療效與用藥順從性，因此需個別化選擇與指導。,個別需求、吸入器選擇、操作錯誤、療效、順從性,每次回診需再次確認吸入器使用方式。
藥物與吸入治療,醫療人員為何需具備正確吸入器衛教技巧？,研究顯示醫療人員的吸入器操作錯誤率高達 31-85%，為確保病人正確使用，醫療人員必須熟知各類型吸入器的操作並即時更新衛教內容。,衛教技巧、操作錯誤、醫療人員、更新資訊,需了解常見錯誤並提供改善方法。
藥物與吸入治療,吸入器初次使用時應如何進行病人教育？,需一對一個別指導，先進行知識評估，再逐步示範操作，病人須實際回覆示教確認學習成果，並提供衛教單張與影片輔助學習。,初次使用、一對一、示教、衛教影片、操作技巧,教育對象亦包含家屬與照護者。
藥物與吸入治療,完成吸入器衛教後還需做什麼？,需登錄於吸入劑衛教紀錄表，定期評估指導成效，並追蹤是否需要加強教育。即便長期使用者，正確率仍可能低於 100%。,紀錄表、成效評估、持續追蹤、加強教育,定期複習技巧是必要的。
藥物與吸入治療,病人除了接受指導外，還可獲得哪些衛教支援？,可提供衛教單張、影片與諮詢管道，協助解決操作、漱口、副作用、清潔與藥量等問題，提升用藥正確性與醫病關係。,衛教資源、諮詢管道、副作用、操作技巧,協助病人及照護者解決常見用藥困難。
